wavelength,Trans_xx,Trans_xy,Trans_yx,Trans_yy,Trans_RL,Trans_RR,Trans_LR,Trans_LL,Refl_xx,Refl_xy,Refl_yx,Refl_yy,Refl_RL,Refl_RR,Refl_LR,Refl_LL
400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410.0,0.619399,5.408764e-10,6.9577893e-10,0.6193985,6.144724e-10,0.6193964,6.1929895e-10,0.6194013,0.024502184,1.7333605e-10,3.2436775e-10,0.024503104,0.024501694,2.854525e-10,0.024503589,0.2075199
420.0,0.6267126,4.1915412e-11,7.187666e-11,0.6267095,4.3025732e-11,0.6267108,6.5373894e-11,0.6267115,0.010082034,2.2845613e-11,3.2594597e-11,0.010082645,0.01008229,4.414378e-11,0.010082392,0.19224115
430.0,0.63806874,2.1746922e-11,1.0425715e-11,0.6380677,3.8290872e-12,0.63806456,2.6591234e-11,0.6380719,0.0035165998,3.040489e-11,9.628758e-12,0.0035165052,0.0035162799,3.1077387e-11,0.0035168251,0.17504895
440.0,0.63718176,1.5416357e-10,1.415974e-10,0.6371892,8.388208e-11,0.6371857,1.9528054e-10,0.6371853,0.0034103116,6.210494e-11,6.672505e-11,0.003410282,0.0034105328,8.610502e-11,0.0034100607,0.15815766
450.0,0.6323335,2.9101504e-11,1.2692286e-10,0.6323288,6.713138e-11,0.6323335,7.713796e-11,0.6323289,0.009264118,2.8900946e-11,8.436927e-11,0.009264604,0.009263989,7.942725e-11,0.009264732,0.14773396
460.0,0.6518835,3.6283124e-10,1.6091742e-10,0.6518702,1.708418e-10,0.6518774,3.5870176e-10,0.6518763,0.01791622,1.5276967e-10,9.261334e-11,0.017916718,0.01791565,2.2047084e-10,0.017917288,0.15794776
470.0,0.7153419,5.975023e-11,3.2231214e-13,0.7153326,1.992964e-11,0.71533537,3.2355077e-11,0.7153392,0.021065816,3.2793518e-11,3.279043e-11,0.021065725,0.021064674,5.5061854e-11,0.021066876,0.187768
480.0,0.78704834,4.583564e-12,3.1041014e-11,0.78704005,4.8321195e-12,0.7870448,3.623826e-11,0.7870436,0.017847506,1.364459e-11,2.458612e-11,0.017850013,0.017848358,5.125915e-11,0.017849166,0.21260425
490.0,0.8394149,1.6735177e-09,1.5959777e-09,0.8393996,1.3725482e-09,0.8394065,1.9228676e-09,0.8394081,0.013619271,1.7712404e-09,1.6972507e-09,0.013620003,0.01361872,2.1027382e-09,0.013620556,0.22422656
500.0,0.87412226,4.779618e-09,2.8669185e-09,0.8741839,2.1702329e-09,0.8741548,5.53807e-09,0.87415123,0.010627767,5.49108e-09,2.654021e-09,0.0106248595,0.010629767,5.97757e-09,0.010622861,0.22776629
510.0,0.8979739,6.4244066e-10,3.913385e-10,0.8979676,5.2903365e-10,0.8979648,4.934827e-10,0.8979768,0.008914941,5.056881e-10,3.6256845e-10,0.00891429,0.0089144865,4.6232337e-10,0.008914745,0.22782624
520.0,0.9153884,2.3193159e-09,6.823479e-10,0.91535866,1.7734829e-09,0.9153564,1.207456e-09,0.91539073,0.008115792,2.4535483e-09,6.56056e-10,0.008113163,0.008112934,1.2617171e-09,0.008116019,0.22632232
530.0,0.9287387,2.0123073e-10,3.64044e-12,0.92874295,1.1528307e-10,0.9287272,8.092876e-11,0.92875457,0.007933558,1.5677058e-10,1.1910846e-11,0.007931298,0.007932607,5.1680753e-11,0.007932248,0.22427069
540.0,0.93950766,2.5163328e-11,1.8394845e-10,0.93950826,7.625177e-11,0.9395168,1.2037975e-10,0.9394991,0.008150018,7.554509e-12,1.2897636e-10,0.008151624,0.008150675,8.989059e-11,0.008150969,0.22198458
550.0,0.948597,1.8382591e-10,3.6272219e-10,0.9485947,2.75828e-10,0.9486012,2.647918e-10,0.9485905,0.00864834,8.964185e-11,2.1689128e-10,0.008649073,0.008648553,1.5823248e-10,0.008648859,0.21967132
560.0,0.9567081,1.6735968e-10,4.725327e-10,0.95670795,3.0805156e-10,0.9567166,3.2367484e-10,0.95669943,0.009352881,7.7757224e-11,3.152515e-10,0.009354391,0.009353279,1.9799168e-10,0.009353993,0.21741875
570.0,0.9645613,1.7444034e-09,1.8688764e-09,0.9645599,1.7808558e-09,0.9645591,1.8325291e-09,0.9645621,0.010246438,1.0940654e-09,1.2133345e-09,0.0102466345,0.010246565,1.1792458e-09,0.010246509,0.21529375
580.0,0.9740124,1.8422257e-11,1.394845e-10,0.9740131,7.059217e-11,0.9740051,8.540005e-11,0.97402036,0.0114406375,8.701008e-12,1.1049547e-10,0.011439358,0.011440398,6.464234e-11,0.0114395935,0.21318409
590.0,0.98197466,2.80978e-10,4.448679e-10,0.981976,3.448379e-10,0.9819797,3.7493683e-10,0.981971,0.013521588,1.925389e-10,3.3850184e-10,0.013522382,0.013521751,2.7808789e-10,0.01352222,0.21159634
600.0,0.98180777,4.6043092e-10,2.409344e-10,0.9818114,4.0191664e-10,0.9818157,3.11556e-10,0.98180354,0.01445596,3.2439187e-10,1.5852093e-10,0.014457692,0.01445675,2.031318e-10,0.014456905,0.21004862
