wavelength,Trans_xx,Trans_xy,Trans_yx,Trans_yy,Trans_RL,Trans_RR,Trans_LR,Trans_LL,Refl_xx,Refl_xy,Refl_yx,Refl_yy,Refl_RL,Refl_RR,Refl_LR,Refl_LL
400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410.0,0.28591713,7.5568e-11,3.8982633e-11,0.28592166,7.784841e-11,0.28591976,2.1260419e-11,0.2859191,0.09776923,1.13916515e-11,1.237663e-11,0.097767964,0.0977686,4.3448747e-12,0.0977686,0.15530704
420.0,0.35042852,6.190518e-10,2.2636917e-10,0.3504326,3.3775896e-10,0.35042486,4.6524898e-10,0.35043627,0.07856658,2.1862404e-11,6.830966e-11,0.0785683,0.078566685,3.6960275e-11,0.078568205,0.18633246
430.0,0.4345643,4.8456633e-10,4.8856225e-10,0.43455943,3.988897e-10,0.4345614,5.7428845e-10,0.4345624,0.052275673,2.5877642e-11,4.1927048e-12,0.052277397,0.052276988,2.3296816e-11,0.052276082,0.19700211
440.0,0.5042046,1.9880993e-10,1.3742142e-10,0.50420254,1.5115814e-10,0.50420535,1.8441469e-10,0.5042019,0.030260755,8.382057e-12,9.3534945e-12,0.030261314,0.030260915,1.3329918e-11,0.030261153,0.19503663
450.0,0.558052,2.2319173e-10,3.3918202e-10,0.55806595,1.185742e-10,0.5580648,4.2148196e-10,0.5580531,0.014704279,1.4297728e-10,3.3015937e-11,0.014702205,0.014702395,1.9191265e-10,0.01470409,0.18822502
460.0,0.5863972,1.5388269e-11,6.1940786e-11,0.5863853,1.1044071e-10,0.58639675,8.2875866e-11,0.58638555,0.007939896,4.122411e-11,5.709649e-11,0.007943127,0.007942391,1.175754e-10,0.007940631,0.18201435
470.0,0.57637346,8.8027745e-11,6.870214e-11,0.5763705,2.2284072e-11,0.5763682,5.328511e-11,0.57637584,0.010100888,1.7351521e-11,6.690032e-11,0.01010102,0.010099918,5.1734498e-12,0.010101988,0.17930497
480.0,0.53276724,4.026294e-11,7.8571e-12,0.53276396,3.3727826e-11,0.5327714,1.02119225e-11,0.5327598,0.015642447,2.148665e-11,9.4642565e-11,0.015642283,0.01564352,2.7534286e-12,0.015641209,0.1769526
490.0,0.47643772,1.3552498e-11,2.9728534e-10,0.47643137,1.8707012e-10,0.47644338,6.128811e-11,0.47642577,0.018284217,8.085553e-11,2.3279739e-10,0.018286763,0.018287424,5.971506e-11,0.018283555,0.16873926
500.0,0.42122343,6.132841e-10,2.7028912e-10,0.42122823,5.1271065e-10,0.42123124,3.440653e-10,0.42122033,0.016557941,2.2608587e-10,9.420012e-11,0.016556162,0.016558068,1.2694157e-10,0.016556036,0.15098608
510.0,0.36669743,6.3478375e-11,5.1470044e-11,0.36669165,9.35369e-11,0.36669433,3.394186e-11,0.36669475,0.012381931,1.8637607e-11,1.8878898e-12,0.012382133,0.012381677,5.0198053e-12,0.012382386,0.12197366
520.0,0.3062289,1.9807155e-10,2.8906955e-11,0.30622977,1.8279492e-10,0.30622798,4.3816662e-11,0.30623075,0.009344928,2.771801e-11,2.142179e-10,0.009348527,0.0093459245,3.4233968e-10,0.009347531,0.08151649
530.0,0.2364293,8.992455e-11,4.7050506e-11,0.23643062,6.8117664e-11,0.23642829,6.689759e-11,0.2364316,0.014052388,2.315105e-11,6.2900664e-11,0.01405335,0.014052326,8.6421655e-11,0.014053411,0.0373719
540.0,0.18062904,3.8430284e-10,2.2339455e-10,0.18062507,2.2173252e-10,0.18062808,3.6048906e-10,0.18062602,0.03530704,8.4941006e-11,4.0858983e-10,0.035304897,0.035304476,4.185929e-10,0.03530745,0.022001652
550.0,0.19686462,2.495953e-10,2.333964e-10,0.19685666,3.163965e-10,0.19685778,1.8643763e-10,0.19686352,0.068146475,9.8620605e-11,3.3935656e-11,0.068143405,0.06814412,1.066182e-10,0.06814576,0.0747886
560.0,0.2855404,7.618677e-11,6.716365e-11,0.28554124,1.0070557e-10,0.28553855,3.6178498e-11,0.28554314,0.0901618,1.8808456e-10,4.6261085e-11,0.090154335,0.09015546,1.9520925e-10,0.09016067,0.16005494
