wavelength,Trans_xx,Trans_xy,Trans_yx,Trans_yy,Trans_RL,Trans_RR,Trans_LR,Trans_LL,Refl_xx,Refl_xy,Refl_yx,Refl_yy,Refl_RL,Refl_RR,Refl_LR,Refl_LL
400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410.0,0.5024185,1.492999e-10,1.6154873e-10,0.50241566,1.5168737e-10,0.5024167,1.787323e-10,0.50241756,0.0436248,3.937604e-11,2.929274e-11,0.04362693,0.04362589,5.674528e-11,0.043625835,0.1925834
420.0,0.5576119,3.2211037e-10,2.403789e-10,0.55761945,2.0219287e-10,0.5576139,3.774346e-10,0.5576175,0.032656573,9.365579e-11,2.7525994e-11,0.032654893,0.032655146,9.878842e-11,0.03265632,0.19981259
430.0,0.5772043,1.6959779e-11,1.1534518e-10,0.57720774,8.334941e-11,0.5772021,3.140897e-11,0.5772101,0.029369608,8.056762e-12,9.529624e-11,0.029366987,0.029366491,3.1358464e-12,0.029370103,0.20117076
440.0,0.57361746,1.117186e-11,1.0449416e-13,0.57360965,1.769878e-11,0.5736133,5.254314e-12,0.5736138,0.028956847,1.5032257e-12,2.0785169e-11,0.028957928,0.028957974,2.8550098e-13,0.028956808,0.20054625
450.0,0.5527608,9.1166595e-11,1.04352596e-10,0.55276674,5.6192898e-11,0.5527638,1.3328758e-10,0.5527637,0.028924102,6.532449e-12,1.7008122e-11,0.02892394,0.028924264,1.4786122e-11,0.028923772,0.1980093
460.0,0.52157384,3.0144956e-11,3.5094972e-11,0.52157676,2.6162975e-11,0.5215759,4.1696535e-11,0.5215746,0.026791802,3.7185265e-11,5.5653277e-12,0.026790889,0.026791528,9.662976e-12,0.026791163,0.1915659
470.0,0.4893641,5.2183792e-11,1.04844154e-10,0.48935658,1.04728705e-10,0.48936006,4.684771e-11,0.48936057,0.021296455,3.3539806e-11,1.0793746e-10,0.021298524,0.021297136,7.2983876e-11,0.02129785,0.17838687
480.0,0.45981127,2.5482624e-10,3.8899572e-10,0.45982638,5.022977e-10,0.45981783,1.9123288e-10,0.45981976,0.01368144,3.465106e-10,5.340377e-10,0.013677622,0.013680263,4.3939313e-10,0.013678799,0.15627934
490.0,0.42698234,5.7487605e-11,5.5100115e-11,0.42698267,6.024991e-11,0.42698267,5.3741518e-11,0.42698234,0.0070436485,1.4378321e-10,1.01271776e-10,0.0070436546,0.007043731,7.528816e-11,0.007043572,0.12385348
500.0,0.37996152,1.7914145e-10,2.31802e-11,0.37996653,1.3627649e-10,0.37996948,4.438408e-11,0.3799586,0.005966852,1.9841896e-10,2.4869344e-11,0.005968295,0.005966602,1.3402986e-10,0.005968545,0.0827955
510.0,0.32068256,3.3349443e-10,1.2316197e-10,0.32067934,2.441366e-10,0.32068512,2.0377414e-10,0.32067683,0.016343229,1.15748515e-10,4.6091166e-11,0.016343039,0.016341574,2.6222144e-11,0.016344693,0.048845973
520.0,0.3067671,3.196535e-10,2.8224478e-10,0.30676743,4.1476841e-10,0.30676812,2.178177e-10,0.3067664,0.036418594,2.9663233e-10,1.1253151e-10,0.03642187,0.036419697,1.5581855e-10,0.036420763,0.06605462
530.0,0.39541647,3.2718678e-10,4.652762e-10,0.39540845,1.891496e-10,0.39540538,5.8184685e-10,0.39541954,0.0459134,3.56816e-10,4.99254e-10,0.045912232,0.045910023,7.7180556e-10,0.04591561,0.13806224
540.0,0.5181283,4.728315e-10,3.6885653e-10,0.5181387,3.5823633e-10,0.5181355,5.4496196e-10,0.51813143,0.039314274,1.232249e-10,2.549862e-10,0.039314784,0.039314914,2.9512104e-10,0.039314147,0.19842526
550.0,0.61840653,1.276763e-10,2.0511733e-10,0.6184142,2.184323e-10,0.6184087,1.0643993e-10,0.6184121,0.028583754,3.0534364e-13,7.695228e-11,0.0285813,0.02858235,5.822842e-11,0.028582713,0.22710072
560.0,0.69766134,8.8776146e-11,2.2596874e-10,0.6976605,1.6980405e-10,0.6976661,1.3634253e-10,0.69765574,0.019741734,2.9232736e-10,6.2177624e-10,0.019741714,0.019743036,4.0360953e-10,0.019740412,0.23693767
570.0,0.77029747,1.2549917e-10,2.2799224e-10,0.77029365,3.9202638e-10,0.77027655,2.8576126e-11,0.77031446,0.013831185,3.2750733e-10,1.730996e-10,0.013835577,0.013831094,3.199541e-11,0.01383567,0.2382963
580.0,0.861071,2.0706832e-09,6.001529e-10,0.86106026,1.0291695e-09,0.861087,1.6565291e-09,0.8610441,0.011259759,2.1255506e-09,6.5591427e-10,0.011254537,0.011259169,1.8537825e-09,0.011255126,0.23608235
