wavelength,Trans_xx,Trans_xy,Trans_yx,Trans_yy,Trans_RL,Trans_RR,Trans_LR,Trans_LL,Refl_xx,Refl_xy,Refl_yx,Refl_yy,Refl_RL,Refl_RR,Refl_LR,Refl_LL
880.0,0.97909915,1.4657561e-09,2.1465838e-09,0.97909975,1.7930047e-09,0.97909147,1.8625738e-09,0.9791075,0.02020911,1.4787658e-09,2.2311253e-09,0.020207372,0.020209325,1.9012742e-09,0.020207155,0.18514386
890.0,0.978853,1.3430296e-09,1.9013373e-09,0.97885346,1.6125911e-09,0.9788464,1.6608387e-09,0.9788601,0.020474952,1.3719652e-09,1.9859232e-09,0.020473467,0.020475144,1.7126306e-09,0.020473279,0.1845843
900.0,0.97860235,4.839326e-10,6.8421924e-10,0.97860116,6.0013033e-10,0.9786059,5.767278e-10,0.97859764,0.020743053,5.227163e-10,7.218973e-10,0.020743787,0.020742925,6.1809696e-10,0.020743921,0.18398403
910.0,0.9783738,4.7104837e-10,3.594364e-10,0.9783744,4.1080503e-10,0.9783714,4.238495e-10,0.9783769,0.020995494,5.0764043e-10,3.8010045e-10,0.020994855,0.02099556,4.489119e-10,0.02099479,0.18346708
920.0,0.9781419,1.3311892e-10,1.12221885e-10,0.9781414,1.2235317e-10,0.9781425,1.2316699e-10,0.97814083,0.021243332,1.3857838e-10,1.1566978e-10,0.021243254,0.021243127,1.350296e-10,0.021243453,0.1829893
930.0,0.97791696,1.134288e-09,1.4021536e-09,0.9779167,1.2549755e-09,0.9779131,1.2804853e-09,0.97792053,0.021487206,1.2018868e-09,1.5021099e-09,0.021486744,0.021487517,1.3515493e-09,0.021486437,0.18252213
940.0,0.9777002,2.7984612e-10,5.214653e-10,0.97769916,4.0296078e-10,0.9776936,4.0965129e-10,0.9777057,0.021718355,2.9243324e-10,5.6579674e-10,0.021717217,0.021718672,4.253893e-10,0.021716902,0.1820372
950.0,0.97749543,2.3528625e-12,3.477501e-12,0.97749627,1.3063588e-12,0.9774958,5.6215536e-12,0.9774958,0.021938317,2.599022e-12,3.562111e-12,0.021938313,0.021938339,5.672736e-12,0.021938285,0.18156698
960.0,0.9772932,1.0713639e-09,1.0188521e-09,0.9772929,1.0362748e-09,0.9772939,1.0585647e-09,0.9772923,0.022156224,1.1655027e-09,1.0983785e-09,0.022155752,0.022155832,1.1430541e-09,0.022156144,0.18115422
970.0,0.97709066,1.2343587e-09,1.1585485e-09,0.9770892,1.1710599e-09,0.97709113,1.2189187e-09,0.97708875,0.022372773,1.3489674e-09,1.2565728e-09,0.022372834,0.022372795,1.3012414e-09,0.022372818,0.18072718
980.0,0.9768925,4.485526e-09,5.0248645e-09,0.97689116,4.788729e-09,0.97689575,4.762351e-09,0.976888,0.02258974,4.940727e-09,5.554496e-09,0.022591133,0.022589847,5.2782254e-09,0.022591025,0.18021712
990.0,0.9767009,4.9445275e-09,4.355031e-09,0.97670263,4.703845e-09,0.9767061,4.5866724e-09,0.97669744,0.022786964,5.4976845e-09,4.80108e-09,0.02278709,0.02278642,5.0872897e-09,0.022787634,0.17994098
